Date,Event,Type Even
19-ต.ค.-87,Black Monday,Financial Market Turmoil and Crises
ก.ค.-90,Early recession (Iraq invaded Kuwait),Geopolitical Factors
ธ.ค.-91,Japanese asset price bubble,Asset Bubbles and Speculative Excesses
16-ก.ย.-92,Black Wednesday,Political and Geopolitical Events Impacting Financial Markets
2-ก.ค.-97,Asian financial crisis,Financial Market Turmoil and Crises
17-ส.ค.-98,Russian financial crisis,Financial Market Turmoil and Crises
10-มี.ค.-00,Dot-com bubble,Asset Bubbles and Speculative Excesses
11-ก.ย.-01,September 11 attacks,Geopolitical Factors
27-ก.พ.-07,Chinese stock bubble ,Asset Bubbles and Speculative Excesses
16-ก.ย.-08,Subprime crisis,Financial Market Turmoil and Crises
พ.ย.-08,Quantitative Easing 1,Central Bank Policies and Monetary Interventions
27-พ.ย.-09,Dubai debt standstill,Financial Market Turmoil and Crises
27-เม.ย.-10,European sovereign debt crisis,Financial Market Turmoil and Crises
6-พ.ค.-10,Flash crash,Financial Market Turmoil and Crises
พ.ย.-10,Quantitative Easing 2,Central Bank Policies and Monetary Interventions
ก.ย.-12,Quantitative Easing 3,Central Bank Policies and Monetary Interventions
เม.ย.-13,Cyprus financial crisis,Financial Market Turmoil and Crises
12-มิ.ย.-15,Chinese stock market selloff,Financial Market Turmoil and Crises
ธ.ค.-15,Fed raises interest rates,Central Bank Policies and Monetary Interventions
23-มิ.ย.-16,UK votes to leave EU,Political and Geopolitical Events Impacting Financial Markets
ม.ค.-18,Quantitative tightening,Central Bank Policies and Monetary Interventions
20-ก.ย.-18,Cryptocurrency crash,Asset Bubbles and Speculative Excesses
24-ก.พ.-20,COVID-19 lockdowns,Health and Global Events
มี.ค.-20,Quantitative Easing 4,Central Bank Policies and Monetary Interventions
พ.ย.-20,Successful trials for COVID-19 vaccines,Health and Global Events
16-ก.พ.-22,Russian invasion in Ukraine,Geopolitical Factors
17-มี.ค.-22,Fed raises interest rates,Central Bank Policies and Monetary Interventions